City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lompoc,US,2022-06-11 03:31:55,34.6391,-120.4579,68.85,74,0,6.91
1,Jamestown,US,2022-06-11 03:31:45,42.097,-79.2353,57.18,63,34,2.98
2,Khatanga,RU,2022-06-11 03:31:55,71.9667,102.5,51.04,47,28,7.87
3,Bredasdorp,ZA,2022-06-11 03:30:04,-34.5322,20.0403,61.48,29,99,6.91
4,Boda,CF,2022-06-11 03:31:56,4.3189,17.4695,68.58,97,87,1.21
5,Sola,VU,2022-06-11 03:31:56,-13.8833,167.55,86.67,74,75,0.0
6,Faanui,PF,2022-06-11 03:31:57,-16.4833,-151.75,79.88,75,16,14.0
7,Rocha,UY,2022-06-11 03:31:57,-34.4833,-54.3333,46.29,59,56,16.31
8,Belluno,IT,2022-06-11 03:31:58,46.145,12.2214,62.65,81,5,1.99
9,Cape Town,ZA,2022-06-11 03:31:58,-33.9258,18.4232,63.01,34,0,4.61
10,Lagos,NG,2022-06-11 03:31:58,6.5833,3.75,79.12,93,100,2.84
11,Ushuaia,AR,2022-06-11 03:31:59,-54.8,-68.3,42.46,65,0,10.36
12,Broome,US,2022-06-11 03:31:59,42.2506,-75.833,57.02,89,48,1.48
13,Sao Filipe,CV,2022-06-11 03:32:00,14.8961,-24.4956,73.29,83,5,10.38
14,Yellowknife,CA,2022-06-11 03:30:21,62.456,-114.3525,73.92,40,20,9.22
15,Port Lincoln,AU,2022-06-11 03:32:00,-34.7333,135.8667,58.51,67,59,7.63
16,Marion,US,2022-06-11 03:32:01,39.7684,-86.1555,62.29,92,100,3.44
17,Ustka,PL,2022-06-11 03:32:01,54.5805,16.8619,49.64,81,24,6.96
18,Laguna,US,2022-06-11 03:32:02,38.421,-121.4238,96.94,42,0,9.22
19,Lebu,CL,2022-06-11 03:32:02,-37.6167,-73.65,48.4,82,50,6.73
20,Cayenne,GF,2022-06-11 03:29:50,4.9333,-52.3333,76.08,1,100,0.0
21,Kodiak,US,2022-06-11 03:32:03,57.79,-152.4072,54.91,76,100,4.61
22,Zhezkazgan,KZ,2022-06-11 03:32:03,47.8043,67.7144,71.58,35,0,2.24
23,Saint George,US,2022-06-11 03:27:39,37.1041,-113.5841,99.19,14,0,8.05
