City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Lahij,YE,13.1667,44.5833,88.02,45,63,3.89,broken clouds
81,Yelan,RU,50.949,43.7378,63.72,62,12,6.49,few clouds
82,Dhidhdhoo,MV,6.8833,73.1,82.53,77,100,12.35,overcast clouds
83,Gamba,GA,-2.65,10.0,73.72,93,45,2.91,scattered clouds
84,Port Hardy,CA,50.6996,-127.4199,58.24,71,100,7.85,overcast clouds
85,Lebu,CL,-37.6167,-73.65,51.58,73,6,11.45,clear sky
86,Hualmay,PE,-11.0964,-77.6139,67.24,75,34,10.38,scattered clouds
87,Dwarka,IN,22.2394,68.9678,82.69,78,3,15.73,clear sky
88,Saint Michael,US,45.21,-93.665,80.85,37,100,9.22,overcast clouds
89,Thompson,CA,55.7435,-97.8558,74.61,23,22,9.42,few clouds
90,Dunedin,NZ,-45.8742,170.5036,41.81,63,40,3.8,scattered clouds
91,Mataura,NZ,-46.1927,168.8643,39.47,99,100,1.28,light rain
92,Marzuq,YE,14.4,46.4667,81.07,43,47,4.59,scattered clouds
93,Bethel,US,41.3712,-73.414,78.94,42,0,11.5,clear sky
94,Iqaluit,CA,63.7506,-68.5145,54.7,50,1,11.99,clear sky
95,Mar Del Plata,AR,-38.0023,-57.5575,46.09,89,75,21.0,broken clouds
96,Abalak,RU,58.1286,68.5944,52.0,98,96,4.99,overcast clouds
97,Qandala,SO,11.472,49.8728,89.31,56,31,4.65,scattered clouds
98,Cockburn Town,TC,21.4612,-71.1419,82.36,69,40,11.5,scattered clouds
99,Manaure,CO,11.7751,-72.4445,90.16,49,78,18.1,broken clouds
100,Moron,AR,-34.6534,-58.6198,50.97,30,0,8.63,clear sky
101,Kodiak,US,57.79,-152.4072,60.31,51,75,8.05,broken clouds
102,Charagua,BO,-19.8,-63.2167,61.9,59,100,9.37,overcast clouds
103,Mao,ES,39.8885,4.2658,70.36,68,0,4.61,clear sky
104,Vila Velha,BR,-20.3297,-40.2925,76.95,77,0,11.5,clear sky
105,Saint-Georges,GD,12.0564,-61.7485,80.33,80,94,13.89,overcast clouds
106,Lompoc,US,34.6391,-120.4579,89.58,52,0,6.91,clear sky
107,Kalabo,ZM,-14.97,22.6814,60.89,50,32,5.53,scattered clouds
108,Airai,TL,-8.9266,125.4092,56.34,95,71,3.8,broken clouds
109,Alpena,US,45.0617,-83.4327,70.12,62,75,9.22,broken clouds
110,Zhigansk,RU,66.7697,123.3711,51.75,84,98,11.54,overcast clouds
111,Tuktoyaktuk,CA,69.4541,-133.0374,40.21,66,100,13.27,overcast clouds
112,Beterou,BJ,9.1992,2.2586,74.37,93,100,5.41,light rain
113,Meulaboh,ID,4.1363,96.1285,74.32,91,56,6.11,broken clouds
114,Ilulissat,GL,69.2167,-51.1,37.42,75,75,3.44,broken clouds
115,Alice Springs,AU,-23.7,133.8833,35.15,93,99,0.0,overcast clouds
116,Butaritari,KI,3.0707,172.7902,82.45,73,90,13.78,light rain
117,Jacmel,HT,18.2342,-72.5347,87.64,70,100,6.04,overcast clouds
118,Pisco,PE,-13.7,-76.2167,66.25,77,2,4.61,haze
119,Punta Arenas,CL,-53.15,-70.9167,48.31,71,40,13.8,scattered clouds
120,New Norfolk,AU,-42.7826,147.0587,43.92,82,100,5.01,light rain
121,Havelock,US,34.8791,-76.9013,82.0,58,100,5.99,overcast clouds
122,Codrington,AU,-38.2667,141.9667,52.27,65,100,17.92,overcast clouds
123,Itoman,JP,26.1247,127.6694,80.98,94,75,18.41,heavy intensity rain
124,Lagoa,PT,39.05,-27.9833,60.6,92,100,14.65,light rain
125,Taganak,PH,6.0833,118.3,81.28,72,96,4.23,overcast clouds
126,Saint-Philippe,RE,-21.3585,55.7679,65.79,80,52,10.67,broken clouds
127,Saint George,US,37.1041,-113.5841,103.95,12,0,17.27,clear sky
128,Nyurba,RU,63.2842,118.3319,53.24,69,47,2.19,scattered clouds
129,Navolato,MX,24.7672,-107.6944,98.64,53,4,14.32,clear sky
130,Mayo,US,38.8876,-76.5119,82.51,55,75,11.5,broken clouds
131,Balakhninskiy,RU,58.0106,114.2769,53.85,67,13,1.99,few clouds
132,Tianmen,CN,30.6516,113.1603,73.54,68,91,6.38,overcast clouds
133,Saskylakh,RU,71.9167,114.0833,41.94,70,0,17.09,clear sky
